Descrição Fornecedor;Valor total;Classificação;Comprador;Plano de ação;Performance de entrega;Situação
FLUAIR COMPONENTES PNEUMATICOS LTDA;R$ 11.300,00;181;Marcia - Compras;;75%;
ZANINI & RODRIGUES LTDA;R$ 11.042,00;182;Gabriel André Bertram;;100%;
BSM ARTEFATOS DE CIMENTO LTDA;R$ 11.026,00;183;Leonardo Pereira Falconeli Dos Santos;;100%;
VELCRO BRASIL IMP. EXP. E COM. DE SISTEMAS DE FIXACAO;R$ 10.897,75;184;Marcia - Compras;;71%;
COMPREBLU COM E MANUTENCAO DE COMPRESSORES LTDA-ME;R$ 10.743,10;185;Gabriel André Bertram;;100%;
KEUNECKE FERRAGENS E FECHADURA LTDA;R$ 10.652,40;186;Marcia - Compras;;33%;
CBS DISTRIBUIDORA LTDA;R$ 10.648,08;187;Gabriel André Bertram;;100%;
KESO DO BRASIL SIST. DE SEGURANCA LTDA;R$ 10.385,50;188;Marcia - Compras;;100%;
CR ESTOPARIA LTDA;R$ 10.150,00;189;Gabriel André Bertram;;100%;
LUBSUL EQUIPAMENTOS E ANTIFRICCAO LTDA;R$ 10.148,00;190;Gabriel André Bertram;;100%;
TORNADO COML DE MAQUINAS E EQUIP DE PINTURA IMP EXP LTDA;R$ 10.135,38;191;Gabriel André Bertram;;100%;
AEROVILLE INDUSTRIA E COMERCIO LTDA;R$ 10.100,00;192;Gabriel André Bertram;;100%;
EJOT-FEY SISTEMAS DE FIXACAO LTDA.;R$ 9.960,00;193;Gabriel André Bertram;;100%;
MELLO AUTO DIESEL LTDA.;R$ 9.856,22;194;Leonardo Pereira Falconeli Dos Santos;;100%;
P&B INDUSTRIA DE PAPEIS LTDA;R$ 9.618,40;195;Gabriel André Bertram;;100%;
COM.E REPRESENTACOES GROSSL LTDA.;R$ 9.564,40;196;Marcia - Compras;;100%;
HYPERMIG SOLUTIONS LTDA;R$ 9.546,00;197;Gabriel André Bertram;;86%;
