Pedido;Data Cadastro;Produto;Descrição Produto;Quantidade Compra;Unidade de Compra;Preço Unit. Compra;Fornecedor;Descrição Fornecedor;Situação Pedido;Previsão Entrega Inicial;Previsão Entrega Atual;Comprador;Nome Comprador;Condição Pagamento;Descrição Condição Pagamento;Data Recebimentos;Máscara de Entrada
55216;17/02/2023;1030;Bobina #14 Zn 1,95x1000mm;10.440,00;KG;7,51;20878;PANATLANTICA CATARINENSE S.A.;Atendido;20/02/2023;20/02/2023;109;Marcia - Compras;12;28/42/56 DIAS;17/02/2023;1.01.02.04.07.00001
55967;14/04/2023;1030;Bobina #14 Zn 1,95x1000mm;24.211,00;KG;7,51;20878;PANATLANTICA CATARINENSE S.A.;Atendido;24/04/2023;25/04/2023;109;Marcia - Compras;12;28/42/56 DIAS;24/04/2023 - 25/04/2023;1.01.02.04.07.00001
56185;28/04/2023;1030;Bobina #14 Zn 1,95x1000mm;6.000,00;KG;7,35;24413;COFERVIL IND. COM. FERROS VITORIA LTDA;Atendido;08/05/2023;08/05/2023;109;Marcia - Compras;14;30/45/60 DIAS;11/05/2023;1.01.02.04.07.00001
56614;31/05/2023;1030;Bobina #14 Zn 1,95x1000mm;18.000,00;KG;7,35;20878;PANATLANTICA CATARINENSE S.A.;Atendido;19/06/2023;19/06/2023;109;Marcia - Compras;12;28/42/56 DIAS;15/06/2023;1.01.02.04.07.00001
57072;30/06/2023;1030;Bobina #14 Zn 1,95x1000mm;6.660,00;KG;7,35;20878;PANATLANTICA CATARINENSE S.A.;Atendido;24/07/2023;24/07/2023;109;Marcia - Compras;12;28/42/56 DIAS;19/07/2023;1.01.02.04.07.00001
57489;28/07/2023;1030;Bobina #14 Zn 1,95x1000mm;24.000,00;KG;7,35;20878;PANATLANTICA CATARINENSE S.A.;Atendido;28/08/2023;28/08/2023;109;Marcia - Compras;12;28/42/56 DIAS;24/08/2023 - 04/09/2023;1.01.02.04.07.00001
58053;29/08/2023;1030;Bobina #14 Zn 1,95x1000mm;12.000,00;KG;7,05;20878;PANATLANTICA CATARINENSE S.A.;Atendido;25/09/2023;25/09/2023;109;Marcia - Compras;12;28/42/56 DIAS;18/09/2023;1.01.02.04.07.00001
58586;28/09/2023;1030;Bobina #14 Zn 1,95x1000mm;18.000,00;KG;7,05;20878;PANATLANTICA CATARINENSE S.A.;Atendido;16/10/2023;16/10/2023;109;Marcia - Compras;12;28/42/56 DIAS;10/10/2023 - 11/10/2023;1.01.02.04.07.00001
59175;31/10/2023;1030;Bobina #14 Zn 1,95x1000mm;30.000,00;KG;7,05;20878;PANATLANTICA CATARINENSE S.A.;Atendido;27/11/2023;27/11/2023;109;Marcia - Compras;12;28/42/56 DIAS;06/12/2023;1.01.02.04.07.00001
59960;19/12/2023;1030;Bobina #14 Zn 1,95x1000mm;30.000,00;KG;7,05;20878;PANATLANTICA CATARINENSE S.A.;Atendido;29/01/2024;29/01/2024;109;Marcia - Compras;12;28/42/56 DIAS;02/02/2024 - 05/02/2024;1.01.02.04.07.00001
54880;27/01/2023;1031;Bobina #14 Zn 1,95x1200mm;12.000,00;KG;7,51;20878;PANATLANTICA CATARINENSE S.A.;Atendido;13/02/2023;13/02/2023;109;Marcia - Compras;12;28/42/56 DIAS;13/02/2023 - 10/02/2023;1.01.02.04.07.00004
58052;29/08/2023;1031;Bobina #14 Zn 1,95x1200mm;6.000,00;KG;7,05;20878;PANATLANTICA CATARINENSE S.A.;Atendido;11/09/2023;11/09/2023;109;Marcia - Compras;12;28/42/56 DIAS;14/09/2023;1.01.02.04.07.00004
59176;31/10/2023;1031;Bobina #14 Zn 1,95x1200mm;6.000,00;KG;7,05;20878;PANATLANTICA CATARINENSE S.A.;Atendido;27/11/2023;27/11/2023;109;Marcia - Compras;12;28/42/56 DIAS;24/11/2023;1.01.02.04.07.00004
59955;19/12/2023;1031;Bobina #14 Zn 1,95x1200mm;6.000,00;KG;7,05;20878;PANATLANTICA CATARINENSE S.A.;Atendido;29/01/2024;29/01/2024;109;Marcia - Compras;12;28/42/56 DIAS;29/01/2024;1.01.02.04.07.00004
